Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,F1) Primary Investment Objective,I1) STEM Learners Targeted? Specify.,I1) STEM Learners Targeted? Specify. 5,I1) STEM Learners Targeted? Specify. 6,J) Focus on Underrepresented Groups in STEM,K) Eligibility Restrictions,L) Minority Serving Institutions,M) Geographic Region,M) Geographic Region 1,N) STEM Discipline Focus 12,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,U) Measured Outputs,V) Outcomes Measured,X) Evaluated Since 2005?,Growth,target
Commerce,NOAA,2000.0,0.826,0.826,0.838,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",,,,Yes,No,No,National scope or not targeted to a geographic region,r,,No,Encouraged,Number of learners (any age) served,,YES,0.0,1
Commerce,NOAA,2008.0,1.245,2.53,3.07,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,No,No,National scope or not targeted to a geographic region,x,,Yes,No,,NONE,YES,103.212851406,1
Agriculture,NIFA,1997.0,5.8,6.327000000000001,9.327,Agency Mission Workforce,Mission-related,"Institutional Capacity: Support advancement and development of STEM personnel, programs, and infrastructure in educational institutions such as universities, informal education institutions, state education agencies, and local education agencies",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,JObs within the food and agriculture sciences and related areas,Yes,,Number of learners (any age) served,none,,9.08620689655,1
Agriculture,NIFA,1986.0,2.8,2.9,2.9,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"(a) Animal and Plant Production – specifically targeting Animal Well-Being 
(Ethologists; Bioethicists; Turkey Reproductive Physiologists); Integrated 
fields of quantitative genetics, statistics, computational biology, and 
breeding for animals and for plants. 

(b) Forest Resources – in particular within the areas of decision sciences; 
land use and landscape analysis; ecosystem processes and forest health; 
utilization technology; and communicating forest research results, new 
technologies, and scientific applications to resource managers.

(c) Agricultural Educators and Communicators – specifically related to: (a) 
training educators who will strengthen the STEM preparation of K-12 students in 
order to enter two- and four-year colleges and pursue degrees that will impact 
the USDA mission; (b) advancing research-based cyberlearning; and (c) 
developing branding to increase public understanding that food, agricultural 
and related sciences are vital to U.S. participation in the global science and 
technology economy.

(d) Agricultural Management and Economics – primarily in agricultural trade 
policy, resource economics, and economics of alternative energy.

(e) Food Science and Human Nutrition – focus will be in food and nutrition for 
health, and reduction of childhood obesity. 

(f) Sciences for Agricultural Biosecurity – particularly in animal pathology 
and food animal diagnostics, invasive species, and other areas impacting the 
security of the food systems.

(g) Integrative Biosciences for Sustainable Food and Agricultural Systems – 
(integrative training in food and agricultural, social and economic 
disciplines) for food, agriculturaland environmental systems, particularly in 
sustainable ecosystems and functional integrative environmental and natural 
resources management.",Yes,,,none,,3.5714285714300003,1
Commerce,NOAA,2005.0,6.36,2.9760000000000004,3.182,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,No,Encouraged,Number of learners (any age) served,,YES,-53.207547169799994,0
Commerce,NIST,1993.0,0.510895,0.6273489999999999,0.739641,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"Biological Sciences, Chemistry, Computer Science, Engineering, Mathematics, 
Physics, Technology",Don't know,,Number of learners (any age) served,none,,22.794116207800002,1
Commerce,NOAA,2005.0,3.97,5.6,5.6,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"Atmospheric Chemistry, Meteorology, Chemistry, Oceanography, Engineering, 
Cartography, Mathematics, Environmental Sciences, Physics, Remoste Sensing 
Science, Geography, Geology, Ecology, Biology, Marine Biology, Computer 
Science, Science Teaching, Science Policy, Hydrology, Natural Resource 
Management, Physical Science, NOAA mission critical sciences",Yes,,Number of learners (any age) served,,,41.0579345088,1
Commerce,NOAA,2001.0,0.0,0.9,0.9,General STEM,,"Pre and In Service Educator/Education Leader Performance: Train or retain STEM educators (K-12 pre-service or in-service, post-secondary, and informal) and education leaders to improve the content knowledge and pedagogical skills of STEM educators",Pre-K-20 learners,,,No,No,No,National scope or not targeted to a geographic region,x,Ocean Exploration,Yes,Encouraged,Number of learners (any age) served,,YES,100.0,1
Transportation,Research and Innovative Technology Administration,1987.0,74.439,83.4526,83.6706,Agency Mission Workforce,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",,,,No,Yes,No,,,"Engineering and all disciplines associated with transportation including urban 
planning, geography, sociology, medical sciences, communications, finance, 
computer sciences etc.",Yes,,Number of learners (any age) served,none,,12.1087064576,1
Transportation,Federal Highway Administration,1991.0,1.9609999999999999,1.989,2.006,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,Transportation-related Academic Disciplines,Yes,,Number of learners (any age) served,none,,1.42784293728,1
Transportation,Federal Highway Administration,2006.0,1.114,1.13,1.14,Agency Mission Workforce,Mission-related,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Grades 6-20 aged learners,,,Yes,No,No,,,STEM in transportation; emphasis on women and minorities.,Yes,,,none,,1.4362657091600002,1
Transportation,Federal Highway Administration,1980.0,0.642,0.648,0.652,Agency Mission Workforce,Mission-related,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,No,,,All fields related to transportation.,Yes,,Number of learners (any age) served,none,,0.934579439252,1
Transportation,Federal Aviation Administration,1990.0,13.2,14.1,16.4,Agency Mission Workforce,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"Aviation and space-related enginnering, math and science.",Yes,,Number of learners (any age) served,none,,6.818181818180001,1
Nuclear Regulatory Commission,Small Business and Civil Rights Office,2006.0,1.0,1.4180000000000001,2.838,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,Yes,Yes,National scope or not targeted to a geographic region,x,,Don't know,Encouraged,Number of learners (any age) served,,YES,41.8,1
Commerce,NOAA,2001.0,0.4681,0.61983,0.603125,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,,Graduate (17-20),Yes,Yes,No,,,"The Dr. Nancy Foster Scholarship Program provides support for independent 
graduate-level studies in oceanography, marine biology or maritime archaeology 
(including all science, engineering, and resource management of ocean and 
coastal areas).",Yes,,Number of learners (any age) served,,,32.4140140996,1
Health & Human Services,National Library of Medicine (NLM),1972.0,10.330879,14.660634,10.143676,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,,Graduate (17-20),No,Yes,,,,"Biomedical informatics, which is the application of computer/information 
science principles to health-related areas such as health care, basic 
biomedical research, translational research, public health, health services 
research, clinical research and consumer health information",Yes,,Number of learners (any age) served,none,,41.9108093319,1
Defense,National Security Agency,1987.0,0.0,1.5,1.6,Agency Mission Workforce,Agency workforce,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,"Computer Science, Computer or Electrical Engineering.",Yes,,Number of learners (any age) served,,,100.0,1
Homeland Security,S&T Office of University Programs,2007.0,3.5,2.5,2.5,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,Yes,,,,"Explosives Detection; Mitigation and Response; 
Social, Behavioral, and Economic Sciences; 
Risk and Decision Sciences; 
Human Factors Aspects of Technology; 
Chemical Threats and Countermeasures; 
Biological Threats and Countermeasures; 
Food and Agriculture Security; 
Transportation Security; 
Border Security; 
Immigration Studies; 
Maritime and Port Security; 
Infrastructure Protection; 
Natural Disasters and Related Geophysical Studies; 
Emergency Preparedness and Response; 
Communications and Interoperability; 
Advanced Data Analysis and Visualization;
Community, Commerce and Infrastructure Resilience",Yes,,,none,,-28.5714285714,0
Homeland Security,S&T Office of University Programs,2007.0,3.8,3.8,3.4,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"ALL - Explosives Detection; Mitigation and Response; 
Social, Behavioral, and Economic Sciences; 
Risk and Decision Sciences; 
Human Factors Aspects of Technology; 
Chemical Threats and Countermeasures; 
Biological Threats and Countermeasures; 
Food and Agriculture Security; 
Transportation Security; 
Border Security; 
Immigration Studies; 
Maritime and Port Security; 
Infrastructure Protection; 
Natural Disasters and Related Geophysical Studies; 
Emergency Preparedness and Response; 
Communications and Interoperability; 
Advanced Data Analysis and Visualization;
Community, Commerce and Infrastructure Resilience",Yes,,,,,0.0,1
Homeland Security,S&T Office of University Programs,2005.0,0.17,0.272,0.55,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"ALL - Explosives Detection; Mitigation and Response; 
Social, Behavioral, and Economic Sciences; 
Risk and Decision Sciences; 
Human Factors Aspects of Technology; 
Chemical Threats and Countermeasures; 
Biological Threats and Countermeasures; 
Food and Agriculture Security; 
Transportation Security; 
Border Security; 
Immigration Studies; 
Maritime and Port Security; 
Infrastructure Protection; 
Natural Disasters and Related Geophysical Studies; 
Emergency Preparedness and Response; 
Communications and Interoperability; 
Advanced Data Analysis and Visualization;
Community, Commerce and Infrastructure Resilience",Yes,,,none,,60.0,1
Homeland Security,S&T Office of University Programs,,0.177,0.22399999999999998,0.363,Agency Mission Workforce,Mission-related,STEM Careers,Grades 6-20 aged learners,Undergraduate (13-16),,No,Yes,,,,Homeland Security related STEM fields,Don't know,,Number of learners (any age) served,none,,26.5536723164,1
Energy,"Office of Energy Efficiency and Renewable Energy, Wind",2007.0,0.366,0.46,0.625,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),No,No,,,,"Engineering (of many types), Scientists (Biology, aerodynamics, physics)",No,,Number of learners (any age) served,none,,25.683060109299998,1
National Science Foundation,Directorate for Education and Human Resources (EHR),2003.0,28.72,27.86,20.85,General STEM,,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Pre-K-20 learners,,,No,Yes,No,National scope or not targeted to a geographic region,x,,Yes,Encouraged,Number of learners (any age) served,,YES,-2.99442896936,0
National Science Foundation,Directorate for Education and Human Resources (EHR),1998.0,92.4,61.22,75.96,General STEM,,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,"Geoscience and Technology areas associated with the previous disciplines 
checked i.e. biotechnology, engineering technology, information technology etc.",Yes,No,Number of learners (any age) served,,YES,-33.7445887446,0
National Science Foundation,Directorate for Education and Human Resources (EHR),1993.0,10.13,11.4,11.57,General STEM,,Education Research and Development: Develop evidence-based STEM education models and practices,,,,Yes,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,NONE,YES,12.537018756199998,1
National Science Foundation,Office of Cyberinfrastructure (OCI),2006.0,9.9,0.0,4.85,General STEM,,"Learning: Develop STEM skills, practices, or knowledge of students or the public",Pre-K-20 learners,Undergraduate school (13-16) aged learners,Graduate school (17-20) aged learners,Yes,Yes,No,National scope or not targeted to a geographic region,x,Computational Science and Engineering,No,Encouraged,,NONE,NO,-100.0,0
Health & Human Services,"National Heart, Lung, and Blood Institute (NHLBI)",2001.0,0.47600000000000003,0.486,0.47600000000000003,Agency Mission Workforce,Mission-related,"Post-Secondary STEM Degrees: Increase the number of students who enroll in STEM majors, complete STEM credentials or degree programs, or are prepared to enter STEM careers or advanced education",Grades 6-20 aged learners,Undergraduate (13-16),Graduate (17-20),Yes,Yes,Yes,,,"Biological Sciences, Chemistry, Social Sciences, Technology,",No,,,none,,2.10084033613,1
Agriculture,APHIS,,0.0,0.0,0.488,Agency Mission Workforce,Mission-related,"Engagement: Increase learners’ engagement, interest in STEM and their perception of its value to their lives, or their ability or participate in STEM",Grades 6-20 aged learners,,,No,Yes,,,,Agriculture Sciences,Don't know,,,none,,0.0,1
Education,Office of Postsecondary Education (OPE),2006.0,194.0,341.0,379.776,General STEM,,STEM Careers,Pre-K-20 learners,Undergraduate (13-16),,No,No,No,National scope or not targeted to a geographic region,x,,Don't know,No,,,NO,75.77319587630001,1
